Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,wild,ms_level,699_PH1_WH1 (1).mzXML,699_PH1_WH2 (1).mzXML,699_PH1_WH3 (1).mzXML,699_PH1_WH4 (1).mzXML
FT0061,106.99877744185,106.998597301571,106.998826563354,2413.38403320312,2403.87670898438,2424.447265625,5,3,1,15358.1456464854,NA,26783.9989399213,62175.8570628449
FT0062,107.070031565798,107.05203150219,107.070055372013,147.051338195801,124.664741516113,215.631500244141,6,2,1,NA,53639.6015116374,375236.21450728,NA
FT0063,107.052116821599,107.052116821599,107.052116821599,1455.98095703125,1455.98095703125,1455.98095703125,1,1,1,NA,NA,NA,14641.7226947023
FT0064,107.872889884938,107.872752739292,107.8731047089,1015.67370605469,944.570739746094,1117.50463867188,15,2,1,19304.3094804683,NA,13736.6214453123,NA
FT0065,109.028172158439,109.028089135286,109.028188997766,131.029,128.299194335938,151.136,5,3,1,127728.680888672,138296.797392188,474859.661433742,NA
FT0066,109.123579629835,109.123498476861,109.123581840218,1947.82,1946.8876953125,2008.68,3,2,1,NA,40393.7220483405,53324.7706298839,NA
FT0067,109.123544441844,109.123544441844,109.123544441844,296.050445556641,296.050445556641,296.050445556641,1,1,1,NA,NA,299679.899502604,NA
FT0068,109.799331951496,109.799217457694,109.799832405671,139.224,126.493,157.725,3,1,1,NA,70649.0617779947,NA,NA
FT0069,109.798391322477,109.79710269684,109.799679948115,1090.93103759766,1090.50207519531,1091.36,2,2,1,76796.5893242168,163497.963605671,NA,NA
FT0070,109.802070616041,109.801982875887,109.802158356196,2329.25,2324.78,2333.72,2,1,1,NA,17083.024235142,NA,NA
FT0071,110.008410852445,110.00839426734,110.008426389053,125.138681396484,123.775856018066,127.370590209961,4,4,1,89981.5230432128,246484.887997396,226046.361220523,85164.4140166017
FT0072,111.116585397138,111.116585397138,111.116585397138,1799.18823242188,1799.18823242188,1799.18823242188,1,1,1,NA,NA,158815.085322264,NA
FT0073,111.020314132535,111.020314132535,111.020314132535,905.146,905.146,905.146,1,1,1,NA,12745.4233115234,NA,NA
FT0074,112.039147405618,112.039099955629,112.039194855607,448.36411328125,448.1572265625,448.571,2,2,1,66545.8897265619,263095.547111598,NA,NA
FT0075,113.05943759386,113.05897603205,113.060095371999,1442.45446777344,1330.41296386719,1581.3759765625,310,4,1,557675.55852541,3003406.36970027,804316.528125009,758140.755684786
FT0076,113.059447598991,113.058794328531,113.070649337299,1243.21,1113.59484863281,1328.23107910156,222,4,1,933379.996376962,868690.608515641,2269948.09972464,4434720.73918264
FT0077,113.059435916652,113.059333559675,113.059735220594,1975.30869628906,1867.9,2083.5322265625,250,4,1,171274.581914063,195924.749996094,168495.871791989,163059.668994141
FT0078,113.059449845133,113.058985985493,113.05994507791,1682.02,1587.87561035156,1765.31,207,4,1,518178.683445791,392359.967102039,495138.422050775,3547055.28597881
FT0079,113.059447037075,113.059114143584,113.059979342764,1814.96057128906,1772.75134277344,1860.33666992188,103,4,1,947175.893021508,613191.201503909,2167515.32302537,864468.063259273
FT0080,113.059468408439,113.059274189102,113.059545957894,2261.81080078125,2176.64526367188,2420.50122070312,164,4,1,159363.184003023,97494.6631288997,82909.0270190399,138894.01685791
FT0081,113.059423323342,113.059238781286,113.05949129783,2129.65112304688,2090.81982421875,2173.21801757812,81,4,1,160621.717654081,421612.497748581,100913.733287107,325297.393518494
FT0082,113.059453868809,113.059006151476,113.059955993469,769.240478515625,564.763610839844,933.630676269531,189,4,1,2983712.94048908,5205457.88312055,1327163.17999221,1827960.07139894
FT0083,113.059462849385,113.059105342886,113.070568252215,1016.83776855469,941.441284179688,1091.97705078125,87,4,1,697464.115253903,3579138.36912351,1375284.93525389,1349119.59023438
FT0084,113.059467769,113.059236369669,113.095871704371,184.415878295898,123.775856018066,247.678970336914,51,4,1,4136086.25075,1497319.39152041,2359832.23945468,1835548.07620312
FT0085,113.059472803681,113.05911673492,113.059758196675,297.762664794922,255.912261962891,348.246154785156,34,4,1,6756080.59149516,814566.423666008,1644010.59403124,7949383.04976442
FT0086,113.059465955475,113.054746846499,113.060114887686,491.048522949219,447.307891845703,546.262,37,4,1,7601236.47014582,10537821.7791112,4879155.91,9771910.26771093
FT0087,113.059457900644,113.057600123435,113.059886096206,392.808166503906,363.233856201172,433.227966308594,27,4,1,14825425.4440281,4080839.87806934,13847674.0023884,11636886.7277982
FT0088,113.96330627226,113.96330627226,113.96330627226,2417.4951171875,2417.4951171875,2417.4951171875,1,1,1,60152.3673757319,NA,NA,NA
FT0089,114.091082227059,114.090967366224,114.091191446419,1450.10876464844,1395.26,1504.43981933594,207,4,1,368171.49012499,445992.009583344,318627.461992179,606987.045402565
