Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,blank,ms_level,Blank1a.mzXML,Blank1b (1).mzXML,Blank1b (2).mzXML,Blank1b.mzXML
FT0047,103.07518731766,103.059746847223,103.090658837068,1610.96203613281,1606.03,1699.15393066406,38,4,1,69953.3627563512,2123945.1165,2123945.1165,2123945.1165
FT0048,104.078459746609,104.078459746609,104.078459746609,1610.96203613281,1610.96203613281,1610.96203613281,1,1,1,8066620.2048611,NA,NA,NA
FT0049,104.963184997207,104.96316591221,104.963208352675,2450.79565429688,2441.67163085938,2459.66,9,4,1,68950.782509761,85038.49164844,85038.49164844,85038.49164844
FT0050,104.963446147156,104.963446147156,104.963446147156,124.224998474121,124.224998474121,124.225,3,3,1,NA,239652.027123535,239652.027123535,239652.027123535
FT0051,104.963509389406,104.963509389406,104.963509389406,-78.261599989891,-78.261599989891,-78.261599989891,1,1,1,133976.784443031,NA,NA,NA
FT0052,105.07939699895,105.07939699895,105.07939699895,1610.96203613281,1610.96203613281,1610.96203613281,1,1,1,108401.075052087,NA,NA,NA
FT0053,105.934906313914,105.934906313914,105.934906313914,124.224998474121,124.224998474121,124.225,3,3,1,NA,42944.0368257141,42944.0368257141,42944.0368257141
FT0054,105.934764830875,105.934745093059,105.93478456869,-179.804449989891,-196.050799989891,-163.558099989891,2,1,1,193819.623652637,NA,NA,NA
FT0055,105.935133745573,105.935133745573,105.935133745573,-80.969599989891,-80.969599989891,-80.969599989891,1,1,1,89296.9519960327,NA,NA,NA
FT0056,106.08610197582,106.086085497216,106.086118454424,1810.47045898438,1807.43603515625,1813.5048828125,2,1,1,56795.2347656212,NA,NA,NA
FT0057,107.028388422419,107.028388422419,107.028388422419,124.224998474121,124.224998474121,124.225,3,3,1,NA,116908.325762305,116908.325762305,116908.325762305
FT0058,107.043892543062,107.043892543062,107.043892543062,-75.993599989891,-75.993599989891,-75.993599989891,1,1,1,536566.457974805,NA,NA,NA
FT0059,107.070170407889,107.070096897806,107.070258675292,342.075012207031,291.507995605469,370.257,9,3,1,NA,303005.39828906,303005.39828906,303005.39828906
FT0060,107.070112759045,107.07008817872,107.070131094974,551.632995605469,522.257,616.1,9,3,1,NA,792981.157055665,792981.157055665,792981.157055665
FT0061,107.070124000557,107.069856525252,107.070219181622,852.109771728516,800.954162597656,896.299377441406,8,1,1,1176797.77855192,NA,NA,NA
FT0062,107.070035686802,107.049024197544,107.070140327937,1645.13244628906,1610.96203613281,1680.63000488281,8,4,1,843860.334907667,11066.5004974364,11066.5004974364,11066.5004974364
FT0063,107.070142825068,107.070095428375,107.070190221761,731.660003662109,701.874,761.446,6,3,1,NA,500766.441851664,197871.375217774,197871.375217774
FT0064,107.070074052841,107.070074052841,107.070074052841,1892.3251953125,1892.3251953125,1892.3251953125,1,1,1,961164.199292017,NA,NA,NA
FT0065,107.070027183804,107.052267188247,107.070042547133,151.154998779297,124.224998474121,198.312,9,3,1,NA,440886.100937501,440886.100937501,440886.100937501
FT0066,107.541066419681,107.541066419681,107.541066419681,-75.993599989891,-75.993599989891,-75.993599989891,1,1,1,141117.722923828,NA,NA,NA
FT0067,107.950426550244,107.950398493927,107.950441881342,-139.864049989891,-197.401299989891,-87.740599989891,8,1,1,170431.095552264,NA,NA,NA
FT0068,108.073489887702,108.073489887702,108.073489887702,1610.96203613281,1610.96203613281,1610.96203613281,1,1,1,162177.64676729,NA,NA,NA
FT0069,108.056956282174,108.056956282174,108.056956282174,1015.96966552734,1015.96966552734,1015.96966552734,1,1,1,65384.7728540023,NA,NA,NA
FT0070,109.101109395103,109.10108578923,109.101109395103,1493.86022949219,1443.37060546875,1493.86022949219,5,1,1,4013943.77217088,NA,NA,NA
FT0071,109.100994345195,109.100994345195,109.100994345195,131.481002807617,131.481,131.481002807617,3,3,1,NA,1242987.42174123,1242987.42174123,1242987.42174123
FT0072,109.101143433939,109.101116186886,109.101170680993,1288.78796386719,1288.78796386719,1288.78796386719,2,1,1,3798269.81096192,NA,NA,NA
FT0073,109.797519927124,109.797313268789,109.797731590534,2198.485,2151.19995117188,2263.78002929688,36,3,1,NA,45460.7619941422,19774.4254431158,19774.4254431158
FT0074,109.798690928519,109.798256031139,109.799224045024,1785.01330566406,1697.37292480469,1883.73620605469,19,1,1,22951.8465966789,NA,NA,NA
FT0075,110.072096930026,110.072096930026,110.072096930026,-79.611599989891,-79.611599989891,-79.611599989891,1,1,1,39209.9658300781,NA,NA,NA
FT0076,110.036162439077,110.036162439077,110.036162439077,1311.90905761719,1311.90905761719,1311.90905761719,1,1,1,182443.295414064,NA,NA,NA
FT0077,111.04382028175,111.043800032785,111.043840530716,2119.72436523438,2118.26245117188,2121.18627929688,2,1,1,1044902.44320314,NA,NA,NA
FT0078,111.043977838951,111.043977838951,111.043977838951,1439.58776855469,1439.58776855469,1439.58776855469,1,1,1,132628.178326831,NA,NA,NA
FT0079,111.116694118156,111.116677063887,111.116711172426,1780.21862792969,1759.90881347656,1800.52844238281,2,1,1,2222640.36856446,NA,NA,NA
FT0080,111.116806911131,111.116685708196,111.116928114065,1527.90972900391,1497.69946289062,1558.11999511719,2,1,1,1045179.19808105,NA,NA,NA
